tmp local (C), tmp object (C), sound voltage (V), current (A),
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.91,168394904
9.00,10.00,5.03,0.91,157732664
9.00,10.00,5.03,0.91,157732664
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.03,0.98,435080144
9.00,10.00,5.04,0.99,467066924
9.00,10.00,5.04,0.91,179057144
9.00,10.00,5.04,0.99,456404684
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.91,168394904
9.00,10.00,5.03,0.92,189751604
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.82,-183620656
9.00,10.00,5.03,0.92,200413844
9.00,10.00,5.04,0.99,488423624
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,488423624
9.00,10.00,5.04,0.99,488423624
9.00,10.00,5.04,0.99,467066924
9.00,10.00,5.03,0.97,403061144
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.03,0.87,29721104
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.92,189751604
9.00,10.00,5.03,0.91,157732604
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.90,115083584
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.95,307068644
9.00,10.00,5.04,0.99,488423624
9.00,10.00,5.04,0.99,488423624
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,488423624
9.00,10.00,5.03,0.96,360412124
9.00,10.00,5.03,0.91,157732604
9.00,10.00,5.03,0.89,83064644
9.00,10.00,5.03,0.91,157732604
9.00,10.00,5.03,0.91,168394904
9.00,10.00,5.03,0.91,157732604
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.97,403061144
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.95,317730884
9.00,10.00,5.04,0.98,445742384
9.00,10.00,5.04,0.98,445742384
9.00,10.00,5.04,0.98,445742384
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.03,0.90,125745884
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.88,51077864
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.91,168394904
9.00,10.00,5.03,0.91,157732604
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,467066924
9.00,10.00,5.04,0.90,147070364
9.00,10.00,5.04,1.00,499085864
9.00,10.00,5.04,0.99,488423624
9.00,10.00,5.04,0.97,403061144
9.00,10.00,5.03,0.92,200413844
9.00,10.00,5.03,0.91,168394904
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.82,-172926196
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.87,29721104
9.00,10.00,5.04,0.98,435080144
9.00,10.00,5.04,0.99,456404624
9.00,10.00,5.04,0.98,445742384
9.00,10.00,5.04,0.99,488423624
9.00,10.00,5.04,0.99,467066924
9.00,10.00,5.04,0.99,467066924
9.00,10.00,5.03,0.91,157732604
9.00,10.00,5.03,0.91,157732604
9.00,10.00,5.03,0.82,-183620656
9.00,10.00,5.03,0.91,157732604
9.00,10.00,5.03,0.91,157732604
9.00,10.00,5.03,0.92,200413844
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,467066924
9.00,10.00,5.04,0.99,467066924
9.00,10.00,5.04,0.90,147070364
9.00,10.00,5.04,0.99,488423624
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,456404624
9.00,10.00,5.03,0.91,168394904
9.00,10.00,5.03,0.90,147070364
9.00,10.00,5.03,0.91,168394904
9.00,10.00,5.03,0.90,147070364
9.00,10.00,5.03,0.91,168394904
9.00,10.00,5.03,0.81,-215607436
9.00,10.00,5.04,0.99,467066924
9.00,10.00,5.04,0.99,467066924
9.00,10.00,5.04,0.99,488423624
9.00,10.00,5.04,0.99,467066924
9.00,10.00,5.04,0.99,456404624
9.00,10.00,5.04,0.99,488423624
9.00,10.00,5.04,0.81,-194282896
9.00,10.00,5.03,0.91,157732604
9.00,10.00,5.03,0.91,168394904
9.00,10.00,5.03,0.91,157732604
9.00,10.00,5.03,0.91,157732604
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.91,168394904
9.00,10.00,5.03,0.91,168394904
9.00,10.00,5.04,0.90,115083584
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,488423624
9.00,10.00,5.03,0.98,435080144
9.00,10.00,5.04,0.93,264419624
9.00,10.00,5.03,0.83,-140939416
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.91,168394904
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.91,168394904
9.00,10.00,5.03,0.91,157732604
9.00,10.00,5.04,0.99,456404624
9.00,10.00,5.04,0.90,147070364
9.00,10.00,5.04,0.99,456404624
9.00,10.00,5.04,1.00,499085864
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,456404624
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.91,168394904
9.00,10.00,5.03,0.82,-172926196
9.00,10.00,5.03,0.91,157732604
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.91,168394844
9.00,10.00,5.03,0.92,200413844
9.00,10.00,5.04,0.98,445742384
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.91,179057144
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.03,0.91,179057144
9.00,10.00,5.03,0.91,168394844
