tmp local (C), tmp object (C), sound voltage (V), current (A),
10.00,12.00,4.81,-26.91,-1877512844
10.00,12.00,4.81,-26.55,853216636
10.00,12.00,4.81,-26.49,1279900156
10.00,12.00,4.81,-26.63,213223576
10.00,12.00,4.81,-26.78,-874809764
10.00,12.00,4.81,-27.03,1500113912
10.00,12.00,4.81,-26.61,405208636
10.00,12.00,4.81,-27.06,1286772092
10.00,12.00,4.81,-26.76,-725473724
10.00,12.00,4.81,-29.00,-484676380
10.00,12.00,4.81,-27.40,-1273296808
10.00,12.00,4.81,-26.62,319878316
10.00,12.00,4.81,-26.95,2097457952
10.00,12.00,4.81,-26.37,-2097694320
10.00,12.00,4.81,-25.88,1614381480
10.00,12.00,4.81,-26.54,917222416
10.00,12.00,4.81,-26.59,575901316
10.00,12.00,4.81,-26.50,1215894436
10.00,12.00,4.81,-26.40,1962574456
10.00,12.00,4.81,-26.74,-597462224
10.00,12.00,4.81,-27.45,-1635974608
10.00,12.00,4.81,-27.08,1094754872
10.00,12.00,4.81,-26.99,1820110412
10.00,12.00,4.81,-26.99,1820110412
10.00,12.00,4.81,-27.01,1692098912
10.00,12.00,4.81,-26.94,-2112179084
10.00,12.00,4.81,-27.00,1734780152
10.00,12.00,4.81,-26.80,-1066826984
10.00,12.00,4.81,-26.34,-1841703540
10.00,12.00,4.81,-26.78,-874809764
10.00,12.00,4.81,-26.68,-106805204
10.00,12.00,4.81,-26.56,746561896
10.00,12.00,4.81,-26.89,-1706820104
10.00,12.00,4.81,-26.51,1173245416
10.00,12.00,4.81,-26.63,234548056
10.00,12.00,4.81,-27.12,817407332
10.00,12.00,4.81,-27.34,-803964268
10.00,12.00,4.81,-27.11,924094352
10.00,12.00,4.81,-26.66,-21474944
10.00,12.00,4.81,-27.03,1500113852
10.00,12.00,4.81,-26.84,-1365499064
10.00,12.00,4.81,-26.99,1841434952
10.00,12.00,4.81,-26.75,-704149244
10.00,12.00,4.81,-26.37,-2076369840
10.00,12.00,4.81,-26.41,1877244196
10.00,12.00,4.81,-26.49,1322581396
10.00,12.00,4.81,-26.52,1045233916
10.00,12.00,4.81,-26.75,-704149244
10.00,12.00,4.81,-26.65,85212076
10.00,12.00,4.81,-26.73,-512131964
10.00,12.00,4.81,-27.02,1585444112
10.00,12.00,4.81,-27.12,817407332
10.00,12.00,4.81,-27.08,1137436112
10.00,12.00,4.82,-27.02,1585444112
10.00,12.00,4.81,-26.92,-1941518564
10.00,12.00,4.81,-26.84,-1386823544
10.00,12.00,4.81,-27.02,1564119632
10.00,12.00,4.81,-26.68,-170810924
10.00,12.00,4.81,-28.89,283328180
10.00,12.00,4.81,-27.05,1329421112
10.00,12.00,4.81,-26.53,1023909376
10.00,12.00,4.81,-26.84,-1386823544
10.00,12.00,4.81,-26.56,789210916
10.00,12.00,4.81,-26.81,-1152157304
10.00,12.00,4.81,-26.79,-938815544
10.00,12.00,4.81,-27.19,262744532
10.00,12.00,4.81,-27.08,1094754872
10.00,12.00,4.81,-27.05,1350777872
10.00,12.00,4.81,-27.20,220063292
10.00,12.00,4.81,-27.00,1756104692
10.00,12.00,4.81,-26.16,-476322720
10.00,12.00,4.81,-27.32,-675952768
10.00,12.00,4.81,-26.68,-128129684
10.00,12.00,4.81,-25.88,1635706020
10.00,12.00,4.81,-26.81,-1152157304
10.00,12.00,4.81,-26.09,57015600
10.00,12.00,4.81,-26.35,-1948358340
10.00,12.00,4.81,-26.97,1990770932
10.00,12.00,4.81,-26.49,1279900156
10.00,12.00,4.81,-26.66,-118184
10.00,12.00,4.81,-27.01,1670774372
10.00,12.00,4.81,-27.01,1692098912
10.00,12.00,4.81,-27.03,1542762872
10.00,12.00,4.81,-27.43,-1550644348
10.00,12.00,4.81,-26.94,-2133503624
10.00,12.00,4.81,-26.97,1948121912
10.00,12.00,4.81,-26.91,-1877512844
